Filename,Original File Size (bytes),Compressed File Size (bytes),Compression Ratio,Time Elapsed (seconds),Effort
kodim17.png,1806234,503120,0.27854641203742153,0.024039506912231445,1
kodim17.png,1806234,470954,0.260738088198982,0.024260520935058594,2
kodim17.png,1806234,432691,0.2395542327295356,0.02895951271057129,3
kodim17.png,1806234,421722,0.23348137616720757,0.25408220291137695,4
kodim17.png,1806234,416748,0.23072758014742276,0.2980773448944092,5
kodim17.png,1806234,400052,0.22148403805929906,0.31520771980285645,6
kodim17.png,1806234,392909,0.21752940095247902,0.49793314933776855,7
kodim17.png,1806234,392932,0.21754213462928945,1.5545530319213867,8
kodim17.png,1806234,389422,0.21559886482039425,7.3174052238464355,9
kodim23.png,1672788,470666,0.2813661982271513,0.023361921310424805,1
kodim23.png,1672788,460453,0.2752608220527646,0.02669548988342285,2
kodim23.png,1672788,414506,0.24779350401844108,0.0310819149017334,3
kodim23.png,1672788,407902,0.2438456038661205,0.2634768486022949,4
kodim23.png,1672788,403785,0.24138444321695277,0.3227090835571289,5
kodim23.png,1672788,393453,0.23520792832086312,0.34672999382019043,6
kodim23.png,1672788,382058,0.2283959473645196,0.5374510288238525,7
kodim23.png,1672788,384364,0.22977448427415786,1.6607282161712646,8
kodim23.png,1672788,383504,0.2292603725038678,7.849952459335327,9
kodim09.png,1748697,488982,0.27962648760763015,0.021500349044799805,1
kodim09.png,1748697,461195,0.2637363705661987,0.025034189224243164,2
kodim09.png,1748697,431608,0.2468169156806468,0.031096220016479492,3
kodim09.png,1748697,414729,0.23716458597458565,0.24018216133117676,4
kodim09.png,1748697,414656,0.237122840606463,0.282210111618042,5
kodim09.png,1748697,393114,0.22480395402977188,0.3037559986114502,6
kodim09.png,1748697,385965,0.22071576722553993,0.49569082260131836,7
kodim09.png,1748697,385636,0.220527627141809,1.5375618934631348,8
kodim09.png,1748697,383131,0.21909513197540798,7.213379383087158,9
kodim15.png,1837746,509149,0.2770508002738137,0.02304863929748535,1
kodim15.png,1837746,483917,0.26332093771391696,0.026889324188232422,2
kodim15.png,1837746,431066,0.23456233886510977,0.03035712242126465,3
kodim15.png,1837746,421930,0.22959103162243313,0.25863003730773926,4
kodim15.png,1837746,408403,0.22223038439479667,0.32610416412353516,5
kodim15.png,1837746,402718,0.2191369209890812,0.35480237007141113,6
kodim15.png,1837746,391596,0.21308494209754775,0.5302505493164062,7
kodim15.png,1837746,390923,0.21271873262137422,1.5249083042144775,8
kodim15.png,1837746,380384,0.20698399017056765,7.109477996826172,9
kodim03.png,1508664,454169,0.3010405232709205,0.022147655487060547,1
kodim03.png,1508664,432381,0.2865986064491497,0.024574756622314453,2
kodim03.png,1508664,383346,0.2540963395428008,0.03029632568359375,3
kodim03.png,1508664,367567,0.24363741694638436,0.21946287155151367,4
kodim03.png,1508664,354240,0.2348037734048138,0.26483654975891113,5
kodim03.png,1508664,344942,0.22864070462342842,0.2768111228942871,6
kodim03.png,1508664,333957,0.22135942794419433,0.4702126979827881,7
kodim03.png,1508664,331889,0.21998867872501762,1.5340166091918945,8
kodim03.png,1508664,329740,0.21856423961862947,7.581580877304077,9
kodim11.png,1863069,524226,0.2813776623410083,0.023183345794677734,1
kodim11.png,1863069,487970,0.26191729882253423,0.02439284324645996,2
kodim11.png,1863069,448952,0.24097443519268477,0.03414034843444824,3
kodim11.png,1863069,440090,0.2362177675652378,0.2744925022125244,4
kodim11.png,1863069,435319,0.2336569391686513,0.31011390686035156,5
kodim11.png,1863069,423217,0.2271612055162745,0.3413965702056885,6
kodim11.png,1863069,418846,0.2248150766289386,0.509955644607544,7
kodim11.png,1863069,418387,0.22456870894207354,1.4460663795471191,8
kodim11.png,1863069,414897,0.22269545572386207,8.003191471099854,9
kodim04.png,1912296,522821,0.2733996201424884,0.02329707145690918,1
kodim04.png,1912296,503055,0.26306335420876265,0.024366378784179688,2
kodim04.png,1912296,452319,0.2365318967356518,0.03377056121826172,3
kodim04.png,1912296,446256,0.23336136246689843,0.27900004386901855,4
kodim04.png,1912296,430968,0.22536678422168954,0.3254859447479248,5
kodim04.png,1912296,426140,0.22284207047444538,0.3257124423980713,6
kodim04.png,1912296,419381,0.21930757581462285,0.5269324779510498,7
kodim04.png,1912296,417981,0.2185754715797136,1.5880634784698486,8
kodim04.png,1912296,415687,0.21737586649765517,7.884560823440552,9
kodim22.png,2105910,567520,0.269489199443471,0.0265350341796875,1
kodim22.png,2105910,543479,0.2580732319994682,0.028896808624267578,2
kodim22.png,2105910,500765,0.23779031392604622,0.03557634353637695,3
kodim22.png,2105910,497974,0.23646499612993907,0.30048370361328125,4
kodim22.png,2105910,490887,0.23309970511560324,0.3304781913757324,5
kodim22.png,2105910,483752,0.22971162110441568,0.38886332511901855,6
kodim22.png,2105910,480779,0.2282998798619124,0.5857455730438232,7
kodim22.png,2105910,481306,0.22855012797318025,1.5852856636047363,8
kodim22.png,2105910,477476,0.22673143676605362,8.025397539138794,9
kodim12.png,1593072,468915,0.29434639488987313,0.021037578582763672,1
kodim12.png,1593072,447638,0.28099043859913425,0.024523496627807617,2
kodim12.png,1593072,411175,0.2581019564715217,0.030270099639892578,3
kodim12.png,1593072,397067,0.24924611065915414,0.23162317276000977,4
kodim12.png,1593072,386981,0.24291494671929453,0.26683473587036133,5
kodim12.png,1593072,373919,0.2347156939548244,0.28882408142089844,6
kodim12.png,1593072,362412,0.22749254270993402,0.4816780090332031,7
kodim12.png,1593072,362448,0.22751514055861882,1.5327272415161133,8
kodim12.png,1593072,357304,0.22428615906876775,7.642244577407837,9
kodim19.png,2014428,541171,0.26864747710019915,0.02553558349609375,1
kodim19.png,2014428,511930,0.2541316939597742,0.02944350242614746,2
kodim19.png,2014428,474123,0.2353635870827848,0.03388404846191406,3
kodim19.png,2014428,463915,0.23029614361992584,0.29027557373046875,4
kodim19.png,2014428,460666,0.2286832788265453,0.29996633529663086,5
kodim19.png,2014428,449102,0.22294269142406678,0.3558633327484131,6
kodim19.png,2014428,444834,0.2208239758383025,0.5736453533172607,7
kodim19.png,2014428,446628,0.2217145512274452,1.7347006797790527,8
kodim19.png,2014428,441067,0.21895396608863657,8.139606237411499,9
kodim10.png,1780389,493543,0.2772107668605007,0.02297520637512207,1
kodim10.png,1780389,468473,0.2631295744918667,0.026380538940429688,2
kodim10.png,1780389,437652,0.24581818917101825,0.03226065635681152,3
kodim10.png,1780389,426889,0.23977288109508652,0.30471348762512207,4
kodim10.png,1780389,418468,0.2350430158802374,0.3477780818939209,5
kodim10.png,1780389,404014,0.22692456536183947,0.37854695320129395,6
kodim10.png,1780389,395596,0.22219638517200455,0.5571818351745605,7
kodim10.png,1780389,396261,0.2225698990501514,1.6380770206451416,8
kodim10.png,1780389,392127,0.22024793458058886,8.030809879302979,9
kodim01.png,2209503,578505,0.2618258495236259,0.043727874755859375,1
kodim01.png,2209503,528908,0.23937872001078975,0.033187150955200195,2
kodim01.png,2209503,495354,0.22419249939918615,0.03685474395751953,3
kodim01.png,2209503,488847,0.22124749321453738,0.2819805145263672,4
kodim01.png,2209503,488365,0.22102934460826712,0.315993070602417,5
kodim01.png,2209503,474813,0.21489583856641065,0.34148240089416504,6
kodim01.png,2209503,470123,0.2127731892647351,0.6474058628082275,7
kodim01.png,2209503,473079,0.21411104669240097,1.5627400875091553,8
kodim01.png,2209503,461408,0.2088288633235619,9.303115129470825,9
kodim02.png,1853985,500204,0.2697993780963708,0.0257112979888916,1
kodim02.png,1853985,480784,0.2593246439426425,0.025717496871948242,2
kodim02.png,1853985,451375,0.24346205605762722,0.03468751907348633,3
kodim02.png,1853985,437317,0.23587947043800248,0.2934243679046631,4
kodim02.png,1853985,430245,0.23206498434453354,0.30863380432128906,5
kodim02.png,1853985,426896,0.2302586051127706,0.3413088321685791,6
kodim02.png,1853985,417701,0.22529901806109542,0.5266482830047607,7
kodim02.png,1853985,416920,0.2248777633044496,1.6608712673187256,8
kodim02.png,1853985,416344,0.2245670811791897,8.487619161605835,9
